section_code,week,ever_ccc,post,total,confirmed
3,2015-04-12T00:00:00Z,0,1,0,0
3,2015-04-19T00:00:00Z,0,1,0,0
3,2015-04-26T00:00:00Z,0,1,0,0
4,2014-08-10T00:00:00Z,0,0,0,0
4,2014-08-17T00:00:00Z,0,0,0,0
4,2014-08-24T00:00:00Z,0,0,0,0
4,2014-08-31T00:00:00Z,0,0,0,0
4,2014-09-07T00:00:00Z,0,0,0,0
4,2014-09-14T00:00:00Z,0,0,0,0
4,2014-09-21T00:00:00Z,0,0,0,0
4,2014-09-28T00:00:00Z,0,0,0,0
4,2014-10-05T00:00:00Z,0,0,1,1
4,2014-10-12T00:00:00Z,0,0,0,0
4,2014-10-19T00:00:00Z,0,1,0,0
4,2014-10-26T00:00:00Z,0,1,0,0
4,2014-11-02T00:00:00Z,0,1,0,0
4,2014-11-09T00:00:00Z,0,1,0,0
4,2014-11-16T00:00:00Z,0,1,0,0
4,2014-11-23T00:00:00Z,0,1,0,0
4,2014-11-30T00:00:00Z,0,1,0,0
4,2014-12-07T00:00:00Z,0,1,0,0
4,2014-12-14T00:00:00Z,0,1,0,0
4,2014-12-21T00:00:00Z,0,1,0,0
4,2014-12-28T00:00:00Z,0,1,0,0
4,2015-01-04T00:00:00Z,0,1,0,0
4,2015-01-11T00:00:00Z,0,1,0,0
4,2015-01-18T00:00:00Z,0,1,0,0
4,2015-01-25T00:00:00Z,0,1,0,0
4,2015-02-01T00:00:00Z,0,1,0,0
4,2015-02-08T00:00:00Z,0,1,0,0
4,2015-02-15T00:00:00Z,0,1,0,0
4,2015-02-22T00:00:00Z,0,1,0,0
4,2015-03-01T00:00:00Z,0,1,1,0
4,2015-03-08T00:00:00Z,0,1,0,0
4,2015-03-15T00:00:00Z,0,1,0,0
4,2015-03-22T00:00:00Z,0,1,0,0
4,2015-03-29T00:00:00Z,0,1,0,0
4,2015-04-05T00:00:00Z,0,1,0,0
4,2015-04-12T00:00:00Z,0,1,1,0
4,2015-04-19T00:00:00Z,0,1,0,0
4,2015-04-26T00:00:00Z,0,1,0,0
5,2014-08-10T00:00:00Z,0,0,0,0
5,2014-08-17T00:00:00Z,0,0,0,0
5,2014-08-24T00:00:00Z,0,0,0,0
5,2014-08-31T00:00:00Z,0,0,0,0
5,2014-09-07T00:00:00Z,0,0,0,0
5,2014-09-14T00:00:00Z,0,0,0,0
5,2014-09-21T00:00:00Z,0,0,0,0
5,2014-09-28T00:00:00Z,0,0,0,0
5,2014-10-05T00:00:00Z,0,0,0,0
5,2014-10-12T00:00:00Z,0,0,0,0
5,2014-10-19T00:00:00Z,0,1,0,0
5,2014-10-26T00:00:00Z,0,1,0,0
5,2014-11-02T00:00:00Z,0,1,0,0
5,2014-11-09T00:00:00Z,0,1,0,0
5,2014-11-16T00:00:00Z,0,1,0,0
5,2014-11-23T00:00:00Z,0,1,0,0
5,2014-11-30T00:00:00Z,0,1,0,0
5,2014-12-07T00:00:00Z,0,1,0,0
5,2014-12-14T00:00:00Z,0,1,0,0
5,2014-12-21T00:00:00Z,0,1,0,0
5,2014-12-28T00:00:00Z,0,1,0,0
5,2015-01-04T00:00:00Z,0,1,2,0
5,2015-01-11T00:00:00Z,0,1,0,0
5,2015-01-18T00:00:00Z,0,1,0,0
5,2015-01-25T00:00:00Z,0,1,0,0
5,2015-02-01T00:00:00Z,0,1,0,0
5,2015-02-08T00:00:00Z,0,1,0,0
5,2015-02-15T00:00:00Z,0,1,0,0
5,2015-02-22T00:00:00Z,0,1,0,0
5,2015-03-01T00:00:00Z,0,1,0,0
5,2015-03-08T00:00:00Z,0,1,0,0
5,2015-03-15T00:00:00Z,0,1,0,0
5,2015-03-22T00:00:00Z,0,1,0,0
5,2015-03-29T00:00:00Z,0,1,1,0
5,2015-04-05T00:00:00Z,0,1,0,0
5,2015-04-12T00:00:00Z,0,1,0,0
5,2015-04-19T00:00:00Z,0,1,1,0
5,2015-04-26T00:00:00Z,0,1,0,0
6,2014-08-10T00:00:00Z,0,0,0,0
6,2014-08-17T00:00:00Z,0,0,0,0
6,2014-08-24T00:00:00Z,0,0,0,0
6,2014-08-31T00:00:00Z,0,0,0,0
6,2014-09-07T00:00:00Z,0,0,0,0
6,2014-09-14T00:00:00Z,0,0,0,0
6,2014-09-21T00:00:00Z,0,0,0,0
6,2014-09-28T00:00:00Z,0,0,0,0
6,2014-10-05T00:00:00Z,0,0,0,0
6,2014-10-12T00:00:00Z,0,0,0,0
6,2014-10-19T00:00:00Z,0,1,0,0
6,2014-10-26T00:00:00Z,0,1,0,0
6,2014-11-02T00:00:00Z,0,1,0,0
6,2014-11-09T00:00:00Z,0,1,0,0
6,2014-11-16T00:00:00Z,0,1,0,0
6,2014-11-23T00:00:00Z,0,1,0,0
6,2014-11-30T00:00:00Z,0,1,0,0
6,2014-12-07T00:00:00Z,0,1,0,0
6,2014-12-14T00:00:00Z,0,1,0,0
6,2014-12-21T00:00:00Z,0,1,0,0
6,2014-12-28T00:00:00Z,0,1,0,0
6,2015-01-04T00:00:00Z,0,1,1,0
6,2015-01-11T00:00:00Z,0,1,0,0
6,2015-01-18T00:00:00Z,0,1,0,0
6,2015-01-25T00:00:00Z,0,1,0,0
6,2015-02-01T00:00:00Z,0,1,0,0
6,2015-02-08T00:00:00Z,0,1,0,0
6,2015-02-15T00:00:00Z,0,1,0,0
6,2015-02-22T00:00:00Z,0,1,0,0
6,2015-03-01T00:00:00Z,0,1,1,0
6,2015-03-08T00:00:00Z,0,1,0,0
6,2015-03-15T00:00:00Z,0,1,0,0
6,2015-03-22T00:00:00Z,0,1,0,0
6,2015-03-29T00:00:00Z,0,1,0,0
6,2015-04-05T00:00:00Z,0,1,0,0
6,2015-04-12T00:00:00Z,0,1,0,0
6,2015-04-19T00:00:00Z,0,1,0,0
6,2015-04-26T00:00:00Z,0,1,0,0
7,2014-08-10T00:00:00Z,0,0,0,0
7,2014-08-17T00:00:00Z,0,0,0,0
7,2014-08-24T00:00:00Z,0,0,0,0
7,2014-08-31T00:00:00Z,0,0,0,0
7,2014-09-07T00:00:00Z,0,0,0,0
7,2014-09-14T00:00:00Z,0,0,0,0
7,2014-09-21T00:00:00Z,0,0,0,0
7,2014-09-28T00:00:00Z,0,0,0,0
7,2014-10-05T00:00:00Z,0,0,0,0
7,2014-10-12T00:00:00Z,0,0,0,0
7,2014-10-19T00:00:00Z,0,1,0,0
7,2014-10-26T00:00:00Z,0,1,0,0
7,2014-11-02T00:00:00Z,0,1,0,0
7,2014-11-09T00:00:00Z,0,1,0,0
7,2014-11-16T00:00:00Z,0,1,0,0
7,2014-11-23T00:00:00Z,0,1,0,0
7,2014-11-30T00:00:00Z,0,1,1,0
7,2014-12-07T00:00:00Z,0,1,0,0
7,2014-12-14T00:00:00Z,0,1,0,0
7,2014-12-21T00:00:00Z,0,1,0,0
7,2014-12-28T00:00:00Z,0,1,0,0
7,2015-01-04T00:00:00Z,0,1,1,0
7,2015-01-11T00:00:00Z,0,1,2,0
7,2015-01-18T00:00:00Z,0,1,2,0
7,2015-01-25T00:00:00Z,0,1,2,0
7,2015-02-01T00:00:00Z,0,1,0,0
7,2015-02-08T00:00:00Z,0,1,0,0
7,2015-02-15T00:00:00Z,0,1,0,0
7,2015-02-22T00:00:00Z,0,1,0,0
7,2015-03-01T00:00:00Z,0,1,0,0
7,2015-03-08T00:00:00Z,0,1,1,0
7,2015-03-15T00:00:00Z,0,1,3,0
7,2015-03-22T00:00:00Z,0,1,2,0
7,2015-03-29T00:00:00Z,0,1,0,0
7,2015-04-05T00:00:00Z,0,1,0,0
7,2015-04-12T00:00:00Z,0,1,1,0
7,2015-04-19T00:00:00Z,0,1,2,0
7,2015-04-26T00:00:00Z,0,1,0,0
8,2014-08-10T00:00:00Z,0,0,0,0
8,2014-08-17T00:00:00Z,0,0,0,0
8,2014-08-24T00:00:00Z,0,0,0,0
8,2014-08-31T00:00:00Z,0,0,0,0
8,2014-09-07T00:00:00Z,0,0,0,0
8,2014-09-14T00:00:00Z,0,0,0,0
8,2014-09-21T00:00:00Z,0,0,0,0
8,2014-09-28T00:00:00Z,0,0,0,0
8,2014-10-05T00:00:00Z,0,0,0,0
8,2014-10-12T00:00:00Z,0,0,0,0
8,2014-10-19T00:00:00Z,0,1,0,0
8,2014-10-26T00:00:00Z,0,1,0,0
8,2014-11-02T00:00:00Z,0,1,0,0
8,2014-11-09T00:00:00Z,0,1,0,0
8,2014-11-16T00:00:00Z,0,1,2,0
8,2014-11-23T00:00:00Z,0,1,0,0
8,2014-11-30T00:00:00Z,0,1,0,0
8,2014-12-07T00:00:00Z,0,1,0,0
8,2014-12-14T00:00:00Z,0,1,0,0
8,2014-12-21T00:00:00Z,0,1,0,0
8,2014-12-28T00:00:00Z,0,1,0,0
8,2015-01-04T00:00:00Z,0,1,0,0
8,2015-01-11T00:00:00Z,0,1,3,0
8,2015-01-18T00:00:00Z,0,1,1,0
8,2015-01-25T00:00:00Z,0,1,1,0
8,2015-02-01T00:00:00Z,0,1,1,0
8,2015-02-08T00:00:00Z,0,1,1,0
8,2015-02-15T00:00:00Z,0,1,2,0
8,2015-02-22T00:00:00Z,0,1,3,0
8,2015-03-01T00:00:00Z,0,1,3,0
8,2015-03-08T00:00:00Z,0,1,1,0
8,2015-03-15T00:00:00Z,0,1,1,0
8,2015-03-22T00:00:00Z,0,1,1,0
8,2015-03-29T00:00:00Z,0,1,1,0
8,2015-04-05T00:00:00Z,0,1,1,0
8,2015-04-12T00:00:00Z,0,1,3,0
8,2015-04-19T00:00:00Z,0,1,1,0
8,2015-04-26T00:00:00Z,0,1,1,0
9,2014-08-10T00:00:00Z,0,0,0,0
9,2014-08-17T00:00:00Z,0,0,0,0
9,2014-08-24T00:00:00Z,0,0,0,0
9,2014-08-31T00:00:00Z,0,0,0,0
9,2014-09-07T00:00:00Z,0,0,0,0
9,2014-09-14T00:00:00Z,0,0,0,0
9,2014-09-21T00:00:00Z,0,0,0,0
9,2014-09-28T00:00:00Z,0,0,0,0
9,2014-10-05T00:00:00Z,0,0,0,0
9,2014-10-12T00:00:00Z,0,0,0,0
9,2014-10-19T00:00:00Z,0,1,0,0
9,2014-10-26T00:00:00Z,0,1,0,0
9,2014-11-02T00:00:00Z,0,1,0,0
9,2014-11-09T00:00:00Z,0,1,0,0
9,2014-11-16T00:00:00Z,0,1,0,0
9,2014-11-23T00:00:00Z,0,1,0,0
9,2014-11-30T00:00:00Z,0,1,0,0
9,2014-12-07T00:00:00Z,0,1,0,0
9,2014-12-14T00:00:00Z,0,1,0,0
9,2014-12-21T00:00:00Z,0,1,0,0
9,2014-12-28T00:00:00Z,0,1,0,0
9,2015-01-04T00:00:00Z,0,1,1,0
9,2015-01-11T00:00:00Z,0,1,0,0
9,2015-01-18T00:00:00Z,0,1,0,0
9,2015-01-25T00:00:00Z,0,1,0,0
9,2015-02-01T00:00:00Z,0,1,0,0
9,2015-02-08T00:00:00Z,0,1,1,0
9,2015-02-15T00:00:00Z,0,1,1,0
9,2015-02-22T00:00:00Z,0,1,0,0
9,2015-03-01T00:00:00Z,0,1,0,0
9,2015-03-08T00:00:00Z,0,1,0,0
9,2015-03-15T00:00:00Z,0,1,0,0
9,2015-03-22T00:00:00Z,0,1,0,0
9,2015-03-29T00:00:00Z,0,1,0,0
9,2015-04-05T00:00:00Z,0,1,1,0
9,2015-04-12T00:00:00Z,0,1,0,0
9,2015-04-19T00:00:00Z,0,1,0,0
9,2015-04-26T00:00:00Z,0,1,0,0
10,2014-08-10T00:00:00Z,0,0,0,0
10,2014-08-17T00:00:00Z,0,0,0,0
10,2014-08-24T00:00:00Z,0,0,0,0
10,2014-08-31T00:00:00Z,0,0,0,0
10,2014-09-07T00:00:00Z,0,0,0,0
10,2014-09-14T00:00:00Z,0,0,0,0
10,2014-09-21T00:00:00Z,0,0,0,0
10,2014-09-28T00:00:00Z,0,0,0,0
10,2014-10-05T00:00:00Z,0,0,0,0
10,2014-10-12T00:00:00Z,0,0,0,0
10,2014-10-19T00:00:00Z,0,1,0,0
10,2014-10-26T00:00:00Z,0,1,0,0
10,2014-11-02T00:00:00Z,0,1,0,0
10,2014-11-09T00:00:00Z,0,1,0,0
10,2014-11-16T00:00:00Z,0,1,0,0
10,2014-11-23T00:00:00Z,0,1,0,0
10,2014-11-30T00:00:00Z,0,1,0,0
10,2014-12-07T00:00:00Z,0,1,0,0
10,2014-12-14T00:00:00Z,0,1,0,0
10,2014-12-21T00:00:00Z,0,1,0,0
10,2014-12-28T00:00:00Z,0,1,0,0
10,2015-01-04T00:00:00Z,0,1,0,0
10,2015-01-11T00:00:00Z,0,1,0,0
10,2015-01-18T00:00:00Z,0,1,0,0
10,2015-01-25T00:00:00Z,0,1,0,0
10,2015-02-01T00:00:00Z,0,1,0,0
10,2015-02-08T00:00:00Z,0,1,0,0
10,2015-02-15T00:00:00Z,0,1,0,0
10,2015-02-22T00:00:00Z,0,1,0,0
10,2015-03-01T00:00:00Z,0,1,0,0
10,2015-03-08T00:00:00Z,0,1,0,0
10,2015-03-15T00:00:00Z,0,1,0,0
10,2015-03-22T00:00:00Z,0,1,0,0
10,2015-03-29T00:00:00Z,0,1,0,0
10,2015-04-05T00:00:00Z,0,1,1,0
10,2015-04-12T00:00:00Z,0,1,0,0
10,2015-04-19T00:00:00Z,0,1,1,0
10,2015-04-26T00:00:00Z,0,1,0,0
11,2014-08-10T00:00:00Z,0,0,0,0
11,2014-08-17T00:00:00Z,0,0,0,0
11,2014-08-24T00:00:00Z,0,0,0,0
11,2014-08-31T00:00:00Z,0,0,0,0
11,2014-09-07T00:00:00Z,0,0,0,0
11,2014-09-14T00:00:00Z,0,0,0,0
11,2014-09-21T00:00:00Z,0,0,0,0
11,2014-09-28T00:00:00Z,0,0,0,0
11,2014-10-05T00:00:00Z,0,0,0,0
11,2014-10-12T00:00:00Z,0,0,0,0
11,2014-10-19T00:00:00Z,0,1,0,0
11,2014-10-26T00:00:00Z,0,1,0,0
11,2014-11-02T00:00:00Z,0,1,0,0
11,2014-11-09T00:00:00Z,0,1,0,0
11,2014-11-16T00:00:00Z,0,1,0,0
11,2014-11-23T00:00:00Z,0,1,0,0
11,2014-11-30T00:00:00Z,0,1,0,0
11,2014-12-07T00:00:00Z,0,1,0,0
11,2014-12-14T00:00:00Z,0,1,0,0
11,2014-12-21T00:00:00Z,0,1,0,0
11,2014-12-28T00:00:00Z,0,1,0,0
11,2015-01-04T00:00:00Z,0,1,0,0
11,2015-01-11T00:00:00Z,0,1,0,0
11,2015-01-18T00:00:00Z,0,1,0,0
11,2015-01-25T00:00:00Z,0,1,0,0
11,2015-02-01T00:00:00Z,0,1,0,0
11,2015-02-08T00:00:00Z,0,1,0,0
11,2015-02-15T00:00:00Z,0,1,0,0
11,2015-02-22T00:00:00Z,0,1,0,0
11,2015-03-01T00:00:00Z,0,1,0,0
11,2015-03-08T00:00:00Z,0,1,0,0
11,2015-03-15T00:00:00Z,0,1,0,0
11,2015-03-22T00:00:00Z,0,1,0,0
11,2015-03-29T00:00:00Z,0,1,0,0
11,2015-04-05T00:00:00Z,0,1,0,0
11,2015-04-12T00:00:00Z,0,1,0,0
11,2015-04-19T00:00:00Z,0,1,0,0
11,2015-04-26T00:00:00Z,0,1,0,0
12,2014-08-10T00:00:00Z,0,0,0,0
12,2014-08-17T00:00:00Z,0,0,0,0
12,2014-08-24T00:00:00Z,0,0,0,0
12,2014-08-31T00:00:00Z,0,0,0,0
12,2014-09-07T00:00:00Z,0,0,0,0
12,2014-09-14T00:00:00Z,0,0,0,0
12,2014-09-21T00:00:00Z,0,0,0,0
12,2014-09-28T00:00:00Z,0,0,0,0
12,2014-10-05T00:00:00Z,0,0,0,0
12,2014-10-12T00:00:00Z,0,0,0,0
12,2014-10-19T00:00:00Z,0,1,0,0
12,2014-10-26T00:00:00Z,0,1,0,0
12,2014-11-02T00:00:00Z,0,1,0,0
12,2014-11-09T00:00:00Z,0,1,0,0
12,2014-11-16T00:00:00Z,0,1,0,0
12,2014-11-23T00:00:00Z,0,1,0,0
12,2014-11-30T00:00:00Z,0,1,0,0
12,2014-12-07T00:00:00Z,0,1,0,0
12,2014-12-14T00:00:00Z,0,1,0,0
12,2014-12-21T00:00:00Z,0,1,0,0
12,2014-12-28T00:00:00Z,0,1,0,0
12,2015-01-04T00:00:00Z,0,1,3,0
12,2015-01-11T00:00:00Z,0,1,0,0
12,2015-01-18T00:00:00Z,0,1,3,0
12,2015-01-25T00:00:00Z,0,1,1,0
12,2015-02-01T00:00:00Z,0,1,0,0
12,2015-02-08T00:00:00Z,0,1,0,0
12,2015-02-15T00:00:00Z,0,1,0,0
12,2015-02-22T00:00:00Z,0,1,1,0
12,2015-03-01T00:00:00Z,0,1,0,0
12,2015-03-08T00:00:00Z,0,1,1,0
12,2015-03-15T00:00:00Z,0,1,0,0
12,2015-03-22T00:00:00Z,0,1,1,0
12,2015-03-29T00:00:00Z,0,1,0,0
12,2015-04-05T00:00:00Z,0,1,1,0
12,2015-04-12T00:00:00Z,0,1,0,0
12,2015-04-19T00:00:00Z,0,1,0,0
12,2015-04-26T00:00:00Z,0,1,1,0
13,2014-08-10T00:00:00Z,0,0,0,0
13,2014-08-17T00:00:00Z,0,0,0,0
13,2014-08-24T00:00:00Z,0,0,0,0
13,2014-08-31T00:00:00Z,0,0,0,0
13,2014-09-07T00:00:00Z,0,0,0,0
13,2014-09-14T00:00:00Z,0,0,0,0
13,2014-09-21T00:00:00Z,0,0,0,0
13,2014-09-28T00:00:00Z,0,0,0,0
13,2014-10-05T00:00:00Z,0,0,0,0
13,2014-10-12T00:00:00Z,0,0,0,0
13,2014-10-19T00:00:00Z,0,1,0,0
13,2014-10-26T00:00:00Z,0,1,0,0
13,2014-11-02T00:00:00Z,0,1,0,0
13,2014-11-09T00:00:00Z,0,1,0,0
13,2014-11-16T00:00:00Z,0,1,0,0
13,2014-11-23T00:00:00Z,0,1,1,0
13,2014-11-30T00:00:00Z,0,1,0,0
13,2014-12-07T00:00:00Z,0,1,0,0
13,2014-12-14T00:00:00Z,0,1,0,0
13,2014-12-21T00:00:00Z,0,1,0,0
13,2014-12-28T00:00:00Z,0,1,0,0
13,2015-01-04T00:00:00Z,0,1,0,0
13,2015-01-11T00:00:00Z,0,1,0,0
13,2015-01-18T00:00:00Z,0,1,0,0
13,2015-01-25T00:00:00Z,0,1,0,0
13,2015-02-01T00:00:00Z,0,1,0,0
13,2015-02-08T00:00:00Z,0,1,0,0
13,2015-02-15T00:00:00Z,0,1,0,0
13,2015-02-22T00:00:00Z,0,1,1,0
13,2015-03-01T00:00:00Z,0,1,3,0
13,2015-03-08T00:00:00Z,0,1,0,0
13,2015-03-15T00:00:00Z,0,1,0,0
13,2015-03-22T00:00:00Z,0,1,1,0
13,2015-03-29T00:00:00Z,0,1,1,0
13,2015-04-05T00:00:00Z,0,1,2,0
13,2015-04-12T00:00:00Z,0,1,0,0
13,2015-04-19T00:00:00Z,0,1,1,0
13,2015-04-26T00:00:00Z,0,1,0,0
14,2014-08-10T00:00:00Z,0,0,0,0
14,2014-08-17T00:00:00Z,0,0,0,0
14,2014-08-24T00:00:00Z,0,0,0,0
14,2014-08-31T00:00:00Z,0,0,0,0
14,2014-09-07T00:00:00Z,0,0,0,0
14,2014-09-14T00:00:00Z,0,0,0,0
14,2014-09-21T00:00:00Z,0,0,0,0
14,2014-09-28T00:00:00Z,0,0,0,0
14,2014-10-05T00:00:00Z,0,0,0,0
14,2014-10-12T00:00:00Z,0,0,0,0
14,2014-10-19T00:00:00Z,0,1,0,0
14,2014-10-26T00:00:00Z,0,1,0,0
14,2014-11-02T00:00:00Z,0,1,0,0
14,2014-11-09T00:00:00Z,0,1,0,0
14,2014-11-16T00:00:00Z,0,1,0,0
14,2014-11-23T00:00:00Z,0,1,0,0
14,2014-11-30T00:00:00Z,0,1,0,0
14,2014-12-07T00:00:00Z,0,1,1,0
14,2014-12-14T00:00:00Z,0,1,0,0
14,2014-12-21T00:00:00Z,0,1,0,0
14,2014-12-28T00:00:00Z,0,1,0,0
14,2015-01-04T00:00:00Z,0,1,0,0
14,2015-01-11T00:00:00Z,0,1,1,0
14,2015-01-18T00:00:00Z,0,1,0,0
14,2015-01-25T00:00:00Z,0,1,2,0
14,2015-02-01T00:00:00Z,0,1,0,0
14,2015-02-08T00:00:00Z,0,1,0,0
14,2015-02-15T00:00:00Z,0,1,1,0
14,2015-02-22T00:00:00Z,0,1,0,0
14,2015-03-01T00:00:00Z,0,1,0,0
14,2015-03-08T00:00:00Z,0,1,1,0
14,2015-03-15T00:00:00Z,0,1,0,0
14,2015-03-22T00:00:00Z,0,1,0,0
14,2015-03-29T00:00:00Z,0,1,0,0
14,2015-04-05T00:00:00Z,0,1,0,0
14,2015-04-12T00:00:00Z,0,1,1,0
14,2015-04-19T00:00:00Z,0,1,1,0
14,2015-04-26T00:00:00Z,0,1,0,0
15,2014-08-10T00:00:00Z,0,0,0,0
15,2014-08-17T00:00:00Z,0,0,0,0
15,2014-08-24T00:00:00Z,0,0,0,0
15,2014-08-31T00:00:00Z,0,0,0,0
15,2014-09-07T00:00:00Z,0,0,0,0
