section_code,week,ever_ccc,post,total,confirmed
15,2014-09-14T00:00:00Z,0,0,0,0
15,2014-09-21T00:00:00Z,0,0,0,0
15,2014-09-28T00:00:00Z,0,0,0,0
15,2014-10-05T00:00:00Z,0,0,0,0
15,2014-10-12T00:00:00Z,0,0,0,0
15,2014-10-19T00:00:00Z,0,1,0,0
15,2014-10-26T00:00:00Z,0,1,0,0
15,2014-11-02T00:00:00Z,0,1,0,0
15,2014-11-09T00:00:00Z,0,1,0,0
15,2014-11-16T00:00:00Z,0,1,0,0
15,2014-11-23T00:00:00Z,0,1,0,0
15,2014-11-30T00:00:00Z,0,1,1,0
15,2014-12-07T00:00:00Z,0,1,0,0
15,2014-12-14T00:00:00Z,0,1,0,0
15,2014-12-21T00:00:00Z,0,1,0,0
15,2014-12-28T00:00:00Z,0,1,0,0
15,2015-01-04T00:00:00Z,0,1,0,0
